user_id,prod_id,rating,timestamp
A1Z3YJF1S8Z1M3,B000M9ISQ2,5.0,1199750400
ALDXDYEGKB27G,B002L6HE9G,4.0,1331337600
A15LOGO6NBSI6B,B007MXGG5Q,5.0,1358640000
A23LX12CA3G4FG,B008HOEDYU,1.0,1385337600
A3TV7QFYXAG130,B0069R7TAM,5.0,1402963200
A1X5SCOSDDB0TQ,B00FAVIB3W,3.0,1391817600
A3N1G4PVX0XK0O,B0043GCBU4,3.0,1292976000
A3IKZ15AVH556K,B00F3GT5BG,3.0,1394496000
A1K1VETA341CQW,B0002L5R78,4.0,1358467200
A28IAVET2ZVKA8,B003EHBU0U,4.0,1378857600
A2KL5EQDFJEAX3,B0041F4F7Y,5.0,1303257600
A6HU0MP3QGA8J,B0046SRHOE,5.0,1309132800
A1LK3VZ7AXZ52C,B00383HMES,4.0,1270598400
A3T4EN8NI5SH1I,B00B2NMXQ8,5.0,1390176000
A22JXPW8K2R1XD,B003YFQ8HW,5.0,1381190400
A1E0E4IU0ZOODY,B00000JFEX,5.0,1257724800
ACETS04701F48,B00IZBNQO8,5.0,1403913600
A2GOMYRSM0XYUA,B009A6CZ26,5.0,1364774400
A1QSBBU48CWC2K,B000KE3ESG,5.0,1395705600
A2OR9DCFOL7IDU,B00C81T3NE,2.0,1388275200
A1MEDIINQBFN2O,B00383WNF6,5.0,1297036800
A3U7DQGZ57GUEM,B00AXZY42W,5.0,1390089600
A1Z9WMGY62XGO0,B000I4RMOU,3.0,1335139200
A1SSFJ7FT589H,B00BWJW7UO,5.0,1390262400
A3508NM26P9TH3,B0070JW7HS,5.0,1375574400
A28GVVNJUZ3VFA,B007CLWN5A,5.0,1387411200
A311KSWL0MPOXV,B00428N9OK,5.0,1315526400
AHWU6PJUDK4JU,B005J7YFLY,4.0,1397347200
A36IXI6YXCU3BP,B00CYLU29W,4.0,1388793600
A1J0VBLYKJGSJU,B003LR7ME6,1.0,1332633600
A3AOJMKC88AREZ,B000LJ5B8Q,4.0,1169337600
AD2IIDY32ANST,B000E3UN3M,3.0,1346889600
A3D4ZPNGZB8RSY,B000T9L7W2,4.0,1391817600
A1901NTE8LFJF6,B002LITI70,4.0,1291680000
A3L3Q2J9MR97EN,B002AR5XIK,4.0,1318809600
A38O6QQRDWAW7Z,B009OBCAW2,4.0,1385424000
A26ZVWD8SA3IKH,B001CGM1ZI,5.0,1361145600
A2LBE4TYXL5BX1,B009CAIKXI,5.0,1402963200
ANOLLWVESUHPT,B001C3K7I4,5.0,1319328000
ASILDOAF3KPK6,B001F6YRNO,5.0,1260921600
AV0LB83EE35PX,B003VANO7C,5.0,1383177600
A1MGPI75H7P61R,B00AGMWWMG,5.0,1389744000
A1E8INW9XE7HEQ,B000196ENC,4.0,1182124800
A2KREN8T1J2VET,B0007RPW36,1.0,1221091200
A1VL3WCH5X1DRW,B001B077PO,4.0,1364860800
A3SS4MZ3AFSEWK,B000NP46K2,5.0,1228003200
A3N2U7SV1XJV75,B00BWHILCY,4.0,1397433600
A1I6XM1NHDL98J,B004GCK5JY,1.0,1361404800
A1V2OEAH5XUP8C,B0026L7B94,5.0,1358985600
A1DYROZQ3M8COY,B00E3W19CE,5.0,1394928000
A2VUEEQHN0JPLP,B008D9AIMA,5.0,1389052800
A2XQMSKQSYQ3T4,B009X5VMLO,5.0,1372464000
A2PSOA19FOD634,B007PRHNHO,3.0,1356652800
A1Z0Z2CZ7GW94J,B003SW13WQ,1.0,1379980800
A8UJO3PXVW70R,B00EL93M3S,4.0,1399248000
AGBZCBKB3AS1B,B001JJCI10,4.0,1260144000
A2G6YLW4MO3K5W,B0013FRNKG,5.0,1316390400
AOGHI4XJ57O0N,B008MPVUK4,5.0,1367539200
A5MA3N8GTR6EQ,B004XXMUCQ,1.0,1403136000
A1Z4NMUQVANQK0,B0078GCLRY,3.0,1393027200
A2EVDHF9SBVK23,B003XN24GY,2.0,1363046400
AGJ55TS0VDKAA,B007B5WHTE,4.0,1355356800
A2CEJYUQRZPT90,B00E3ERLU6,4.0,1395964800
A2LPPWVJ3GXCO,B00DTPYRTI,5.0,1401408000
A1UNCTOLKTO3R6,B004Q6ZEEG,3.0,1379980800
AY2UZ5Q5RZW7P,B000PGG0BM,3.0,1311292800
A7I0UCYEAF0OW,B0026IBJNQ,4.0,1247097600
A2SXPML643VONG,B003QP3M92,4.0,1302480000
A1XF2V55MD99F1,B003M76AFC,4.0,1326672000
A3SJ6GT266ND0F,B0001I95CA,5.0,1363564800
A2D30H0N3O7PO6,B00DBPF0NS,5.0,1396051200
A1YMIDSIJK38AS,B0015A8Y5M,5.0,1349136000
A22Z4PC8DAO9CN,B0083YGHW0,4.0,1359072000
A153EN1AYK77Z5,B000EP4TWQ,5.0,1168387200
A2PJ0PQVLN56MI,B00834SJSK,2.0,1371513600
A3K5QNC0UH0QCE,B004TS2AO8,4.0,1331942400
A1UI5LAOCCWDGO,B0010RWR44,2.0,1252281600
A18PVQK5NDYV0M,B00478O0JI,5.0,1386028800
A3MOMT9JOR4QHD,B004JWA70I,3.0,1367625600
AFFN716N6LWQC,B0050JDQMU,5.0,1392336000
A3E0XBS2HKQRVN,B001T0HW88,4.0,1281744000
A5HUN31K4BEI3,B008OHNZI0,5.0,1352937600
A333ZBFQV9U826,B001V9LPT4,5.0,1377475200
A2R0RKTHVSH3A8,B00CL6TK2U,5.0,1401667200
A3H00JXVDUYF2Y,B002RWJDV6,4.0,1278460800
A9EE1PXK5EGFJ,B0062CZTJM,1.0,1367971200
A3K8CNSS155TQK,B001CCLBSA,5.0,1294963200
A39G1949ZAKQN9,B00303G9F4,5.0,1267574400
A1PBTRSMZEFUTL,B00902SFC4,4.0,1392336000
AJRPVCNT3Q7W5,B000UO9KSY,2.0,1353369600
A1FVY1GXGKS5TR,B005J4B5VK,1.0,1401408000
A22KVQRVAX0OEI,B000UV4EU6,4.0,1197763200
A130TW1NCM0QLD,B0001AP8CE,5.0,1099526400
A18C2ZDK59KCD1,B00H1YYCWA,5.0,1403913600
AZBMDU8RWQL56,B0006ZO2CG,5.0,1147132800
A35C5KYV3VC9U0,B000MX07GC,4.0,1188432000
A3BIP5AYCZTS5N,B002WBV2T8,4.0,1312070400
A3AXUGBVZS7VLC,B005E7KMH0,5.0,1369526400
A2RJFIJGU3A12P,B004W88SBE,5.0,1366156800
AK1YRT4QUL5U4,B00151HAMO,5.0,1229385600
A12I2GN4M7MTTA,B005I496WQ,5.0,1343865600
AEYDZ5OZWDIW8,B000FMPENQ,3.0,1299456000
A2SGN3S072KRSR,B007GJR7GS,1.0,1350000000
A3RLADT3X6USPF,B0064L8L2I,1.0,1369785600
A11MNTH1CITWGT,B003DZ165W,5.0,1299024000
ANC4BPHE3CK20,B0018P7WZ2,4.0,1322524800
A35TY8R3MUAU59,B0081EAK34,5.0,1325635200
A23HSNMKZM9JJ4,B0060QHLBE,5.0,1349222400
A3A8TTTEL3VYR6,B0012S4APK,4.0,1271635200
A1BW517GI5GWBI,B00004WCIC,5.0,1129507200
AAFYCJTFUBRXA,B004SUO1QM,1.0,1403654400
